UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
5083c3abb329421c8c7bb181fc657bba;1;RW;0x0001;MdbRwTab1;Holding register;0;Binary output;0;0;1;0;1;;;;0=AUT=Automático\1=Ligado;0=AUT=Automatic\1=On;0=AUT=Automático\1=Encendido;;;Público;Parâmetro de modo de acionamento do grupo 1 de resfriamento;Parameter of trigger mode of the cooling group 1;Parámetro del modo de accionamiento del grupo de refrigeración 1;CGR1;;;;;;;;;;Debug;;;SDp_TM_$CCGR1$CO$CECtl$Oper$ctlVal;;
b29b2bf16a2f4a15ae06766d7a7b2628;1;RW;0x0002;MdbRwTab1;Holding register;0;Binary output;1;0;1;0;1;;;;0=AUT=Automático\1=Ligado;0=AUT=Automatic\1=On;0=AUT=Automático\1=Encendido;;c05b89f8e7814d09bba84366ebf7156f=2;Público;Parâmetro de modo de acionamento do grupo 2 de resfriamento;Parameter of trigger mode of the cooling group 2;Parámetro del modo de accionamiento del grupo de refrigeración 2;CGR2;;;;;;;;;;Debug;;;SDp_TM_$CCGR2$CO$CECtl$Oper$ctlVal;;
a2f1874bbcdb468d96c677d34d425316;1;RW;0x0010;MdbRwTab1;Holding register;0;Binary output;4;0;1;0;1;;;;0=AUT=Automático\1=Ligado;0=AUT=Automatic\1=On;0=AUT=Automático\1=Encendido;;c05b89f8e7814d09bba84366ebf7156f=3 E a56b107c1e304adabdbdff8510bb08f2=1;Público;Parâmetro de modo de acionamento do grupo 3 de resfriamento;Parameter of trigger mode of the cooling group 3;Parámetro del modo de accionamiento del grupo de refrigeración 3;CGR3;;;;;;;;;;Debug;;;SDp_TM_$CCGR3$CO$CECtl$Oper$ctlVal;;
98222823da25450daf91c8e29f685def;1;RW;0x0020;MdbRwTab1;Holding register;0;Binary output;5;0;1;0;1;;;;0=AUT=Automático\1=Ligado;0=AUT=Automatic\1=On;0=AUT=Automático\1=Encendido;;c05b89f8e7814d09bba84366ebf7156f=4 E a56b107c1e304adabdbdff8510bb08f2=1;Público;Parâmetro de modo de acionamento do grupo 4 de resfriamento;Parameter of trigger mode of the cooling group 4;Parámetro del modo de accionamiento del grupo de refrigeración 4;CGR4;;;;;;;;;;Debug;;;SDp_TM_$CCGR4$CO$CECtl$Oper$ctlVal;;
1d4a92cc5e3946a691f6a39c56497399;1;RW;16;MdbRwTab1;Holding register;1;Analog output;0;-55;200;95;1;°C;°C;°C;;;;;;Público;Parâmetro de alarme por temperatura do óleo;Parameter of alarm by oil temperature;Parámetro de alarma por temperatura del aceite;TM1\MNU\ALM\ALO;TM1\MNU\ALM\OAL;;;;;;Alarmes;Alarms;Alarmas;Parâmetro;;Sim;SDp_TM_$SIML1$SP$AlmSet$setMag$i \ SDp_TM_$SIML1$SP$AlmSet$setMag$f;;
8f44a68d706347219913348c7a4e0fae;1;RW;16;MdbRwTab1;Holding register;2;Analog output;1;-55;200;110;1;°C;°C;°C;;;;;;Público;Parâmetro de desligamento por temperatura do óleo;Parameter of trip by oil temperature;Parámetro de apagado por temperatura del aceite;TM1\MNU\ALM\DSO;TM1\MNU\ALM\OTP;;;;;;Alarmes;Alarms;Alarmas;Parâmetro;;Sim;SDp_TM_$SIML1$SP$TrSpt$setMag$i \ SDp_TM_$SIML1$SP$TrSpt$setMag$f;;
d7a95f8f723f436f91af0cebff744110;1;RW;16;MdbRwTab1;Holding register;3;Analog output;2;0;200;50;10;min;min;min;;;;;;Público;Parâmetro de retardo de desligamento por temperatura do óleo;Parameter of trip delay by oil temperature;Parámetro de retardo de apagado por temperatura del aceite;TM1\MNU\ALM\RDO;TM1\MNU\ALM\OTD;;;;;;Alarmes;Alarms;Alarmas;Parâmetro;;Sim;SDp_TM_$SIML1$SP$TrDlSet$setMag$i \ SDp_TM_$SIML1$SP$TrDlSet$setMag$f;;
515b2aaec1fa4550b6ec4ff49a425a32;1;RW;16;MdbRwTab1;Holding register;4;Analog output;3;-55;200;65;1;°C;°C;°C;;;;;;Público;Parâmetro de temperatura de partida do estágio de resfriamento 1;Parameter of start temperature of the cooling stage 1;Parámetro de temperatura inicial de la etapa de enfriamiento 1;TM1\MNU\RF\ER1\RF1;TM1\MNU\FAN\CS1\FC1;;;;;;Resfriamento Forçado;Forced Cooling;Enfriamiento Forzado;Parâmetro;;;SDp_TM_$CCGR1$SP$StrTmpSet$setMag$i \ SDp_TM_$CCGR1$SP$StrTmpSet$setMag$f;;
a50271b466794c80b766e5775c3173a6;1;RW;16;MdbRwTab1;Holding register;5;Analog output;4;-55;200;75;1;°C;°C;°C;;;;;;Público;Parâmetro de temperatura de partida do estágio de resfriamento 2;Parameter of start temperature of the cooling stage 2;Parámetro de temperatura inicial de la etapa de enfriamiento 2;TM1\MNU\RF\ER2\RF2;TM1\MNU\FAN\CS2\FC2;;;;;;Resfriamento Forçado;Forced Cooling;Enfriamiento Forzado;Parâmetro;;;SDp_TM_$CCGR2$SP$StrTmpSet$setMag$i \ SDp_TM_$CCGR2$SP$StrTmpSet$setMag$f;;
c118a2b845f743318976bb6a8328993d;1;RW;16;MdbRwTab1;Holding register;6;Analog output;5;-55;200;105;1;°C;°C;°C;;;;;;Público;Parâmetro de alarme por temperatura do enrolamento 1;Parameter of alarm by winding 1 temperature;Parámetro de alarma por temperatura del devanado 1;TM1\MNU\ALM\ALE;TM1\MNU\ALM\WAL;;;;;;Alarmes;Alarms;Alarmas;Parâmetro;;Sim;SDp_TM_$SPTR1$SP$HPTmpAlmSet1$setMag$i \ SDp_TM_$SPTR1$SP$HPTmpAlmSet1$setMag$f;;
