UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
4d9ed50e6b9e43d0ba1deb0ab03db883;1;R;FLOAT_ABCD;;Input register;999;Analog input;0;5;5000;0;10;ppm;ppm;;;;;;;Público;Indicação de hidrogênio (H2) - Fonte de óleo 1;Indication of hydrogen (H2) - Oil source 1;;;;;;Fonte 1;Source 1;;Medições;Measurements;;Geral;Sim;Sim;SDp_DGA_$SIML1$MX$H2ppm$mag$f \ SDp_DGA_$SIML1$MX$H2ppm$mag$i \ SDp_DGA_$SIML1$MX$H2ppm$instMag$f \ SDp_DGA_$SIML1$MX$H2ppm$instMag$i;;
baa78927fe3e4a8ca60ed32d1fc0800a;1;R;Bit;;Discrete input;999;Binary input;0;0;1;0;1;;;;0=Sem alarmes\1=Alarme alto ativo;0=No alarm\1=High alarm triggered;;;;Público;Indicação de status de alerta;Indication of caution status;;;;;;Geral;;;;;;Geral;;;SDp_DGA_$LPHD1$ST$AlertSt$stVal;;
b5389c62477e4cd1b375c5ac2df38c7a;1;R;Bit;;Discrete input;1000;Binary input;1;0;1;0;1;;;;0=Sem alarmes\1=Alarme muito alto ativo;0=No alarm\1=Very high alarm triggered;;;;Público;Indicação de status de alarme;Indication of alarm status;;;;;;Geral;;;;;;Geral;;;SDp_DGA_$LPHD1$ST$AlmSt$stVal;;
37e49adbff1e4831b77a1dd0eb7dde4b;1;R;FLOAT_ABCD;;Input register;1001;Analog input;1;20;50000;0;10;ppm;ppm;;;;;;;Público;Indicação de dióxido de carbono (CO2) - Fonte de óleo 1;Indication of carbon dioxide (CO2) - Oil source 1;;;;;;Fonte 1;Source 1;;Medições;Measurements;;Geral;Sim;Sim;SDp_DGA_$SIML1$MX$CO2ppm$mag$f \ SDp_DGA_$SIML1$MX$CO2ppm$mag$i \ SDp_DGA_$SIML1$MX$CO2ppm$instMag$f \ SDp_DGA_$SIML1$MX$CO2ppm$instMag$i;;
bf236f070fe945268bc26825f8d082e3;1;R;Bit;;Discrete input;1001;Binary input;2;0;1;0;1;;;;0=Sem autodiagnóstico\1=Autodiagnóstico ativo;0=No error\1=Self-diagnostic activated;;;;Público;Indicação de status dos autodiagnósticos;Indication of service status;;;;;;Geral;;;;;;Geral;;;SDp_DGA_$LPHD1$ST$ErrSt$stVal;;
aba04ef3eb954a7e8412cb8a30651f0b;1;R;Bit;;Discrete input;1002;Binary input;3;0;1;0;1;;;;0=Inativo\1=Ativo;0=Not triggered\1=Triggered;;;;Público;Indicação de status do relé 1;Indication of relay 1 status;;;;;;Geral;;;Relés;Relays;;Geral;;;SDp_DGA_$LPHD1$ST$StRly1$stVal;;
50760f61e00646a59d36f514b5f581df;1;R;FLOAT_ABCD;;Input register;1003;Analog input;2;1;50000;0;10;ppm;ppm;;;;;;;Público;Indicação de monóxido de carbono (CO) - Fonte de óleo 1;Indication of carbon dioxide (CO) - Oil source 1;;;;;;Fonte 1;Source 1;;Medições;Measurements;;Geral;Sim;Sim;SDp_DGA_$SIML1$MX$COppm$mag$f \ SDp_DGA_$SIML1$MX$COppm$mag$i \ SDp_DGA_$SIML1$MX$COppm$instMag$f \ SDp_DGA_$SIML1$MX$COppm$instMag$i;;
2922ffae5abf4a8489a71dd205b56f7f;1;R;Bit;;Discrete input;1003;Binary input;4;0;1;0;1;;;;0=Inativo\1=Ativo;0=Not triggered\1=Triggered;;;;Público;Indicação de status do relé 2;Indication of relay 2 status;;;;;;Geral;;;Relés;Relays;;Geral;;;SDp_DGA_$LPHD1$ST$StRly2$stVal;;
688680b8255042ba85059793a5d52dd9;1;R;Bit;;Discrete input;1004;Binary input;5;0;1;0;1;;;;0=Inativo\1=Ativo;0=Not triggered\1=Triggered;;;;Público;Indicação de status do relé 3;Indication of relay 3 status;;;;;;Geral;;;Relés;Relays;;Geral;;;SDp_DGA_$LPHD1$ST$StRly3$stVal;;
d91d089d6cc343ca9fcb37a117520a5f;1;R;FLOAT_ABCD;;Input register;1005;Analog input;3;1;50000;0;10;ppm;ppm;;;;;;;Público;Indicação de etileno (C2H4) - Fonte de óleo 1;Indication of ethylene (C2H4) - Oil source 1;;;;;;Fonte 1;Source 1;;Medições;Measurements;;Geral;Sim;Sim;SDp_DGA_$SIML1$MX$C2H4ppm$mag$f \ SDp_DGA_$SIML1$MX$C2H4ppm$mag$i \ SDp_DGA_$SIML1$MX$C2H4ppm$instMag$f \ SDp_DGA_$SIML1$MX$C2H4ppm$instMag$i;;
