UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
b634e6645ca44ea58aa9a2f8789a1b3d;1;RW;16;MdbWrTab;Holding register;0;Analog output;0;0;2;0;1;;;;0=Português\1=Inglês\2=Espanhol;0=Português\1=Inglês\2=Espanhol;0=Portugués\1=Inglés\2=Español;;;Público;Parâmetro de seleção do idioma de interface;Parameter of interface language;Parámetro de selección de idioma de la interfaz;Idioma;Language;;;;;;;;;;;;;;CDC
b5c0f539ed184e0fbdaf26948570a791;1;RW;16;MdbWrTab;Holding register;1;Analog output;1;0;8;4;1;;;;0=0...1 mA\1=-1...1 mA\2=0...5 mA\3=-5...5 mA\4=0...10 mA\5=-10...10 mA\6=0...20 mA\7=-20...20 mA\8=4...20 mA;0=0...1 mA\1=-1...1 mA\2=0...5 mA\3=-5...5 mA\4=0...10 mA\5=-10...10 mA\6=0...20 mA\7=-20...20 mA\8=4...20 mA;0=0...1 mA\1=-1...1 mA\2=0...5 mA\3=-5...5 mA\4=0...10 mA\5=-10...10 mA\6=0...20 mA\7=-20...20 mA\8=4...20 mA;;;Público;Parâmetro de faixa de saída - Saída analógica 1;Parameter of analog output by current loop;Parámetro de rango de salida - Salida analógica 1;Escala Saida mA;mA Output Range;;;;;;;;;;;;;;CDC
0a4e878e09ac48b3bd4b50f0598d1a40;1;RW;16;MdbWrTab;Holding register;2;Analog output;2;0;2;0;1;;;;0=TP\1=TC\2=TAP;0=PT\1=CT\2=TAP;0=TP\1=TC\2=TAP;;;Público;Parâmetro de variável associada à saída analógica 1;Parameter of measurement type represented by the analog output in current loop;Parámetro de variable asociada a la salida analógica 1;Variavel Analog.;Analog Variable;;;;;;;;;;;;SDp_AVR_$MMXN1$SP$AnOutVar$setMag$i \ SDp_AVR_$MMXN1$SP$AnOutVar$setMag$f;;CDC
780c0d2d50db4a958cfe0b846e5131db;1;RW;16;MdbWrTab;Holding register;3;Analog output;4;0;11;0;1;;;;0=0°\1=30°\2=60°\3=90°\4=120°\5=150°\6=180°\7=210°\8=240°\9=270°\10=300°\11=330°;0=0°\1=30°\2=60°\3=90°\4=120°\5=150°\6=180°\7=210°\8=240°\9=270°\10=300°\11=330°;0=0°\1=30°\2=60°\3=90°\4=120°\5=150°\6=180°\7=210°\8=240°\9=270°\10=300°\11=330°;;;Público;Parâmetro de ajuste do ângulo de defasagem entre a tensão medida pelo TP e a corrente medida pelo TC;Parameter of difference angle adjustment between PT measured voltage and CT measured current;Parámetro para ajustar el ángulo de cambio de fase entre el voltaje medido por el TP y la corriente medida por el TC;Defasagem TC/TP;CT/PT Ph. Shift;;;;;;Transformador;Transformer;Transformador;Parâmetro;;;SDp_AVR_$MMXN1$SP$ShiftAng$setMag$i \ SDp_AVR_$MMXN1$SP$ShiftAng$setMag$f;;CDC
80c09685fb014f8b89946a2dc425a31d;1;RW;16;MdbWrTab;Holding register;4;Analog output;5;0;1;0;1;;;;0=Monofásico\1=Trifásico;0=Single phase\1=Three phases;0=Monofásico\1=Trifásico;;;Público;Parâmetro de seleção do tipo de transformador conectado ao AVR;Parameter of transformer type connected to the AVR;Parámetro de selección del tipo de transformador conectado al AVR;Número de fases;Number of Phases;;;;;;Transformador;Transformer;Transformador;Parâmetro;;;SDp_AVR_$YPTR1$SP$TranTyp$setMag$i \ SDp_AVR_$YPTR1$SP$TranTyp$setMag$f;;CDC
25070b8383f0458991bcae30a34e8bdf;1;RW;16;MdbWrTab;Holding register;5;Analog output;6;0;9999;100;10;MVA;MVA;MVA;;;;;;Público;Parâmetro de potência nominal;Parameter of rated power;Parámetro de potencia nominal;Potencia Nominal;Xfmr Rated Power;;;;;;Transformador;Transformer;Transformador;Parâmetro;;;SDp_AVR_$ATCC1$SP$NomPwr$setMag$i \ SDp_AVR_$ATCC1$SP$NomPwr$setMag$f;;CDC
507d20061b394e229d4d03e87dd88621;1;RW;16;MdbWrTab;Holding register;6;Analog output;7;1;9999;100;1;;;;;;;;;Público;Parâmetro de ajuste da relação de transformação do TP;Parameter of PT transformer ratio adjustment;Parámetro de ajuste de la relación de transformación de TP;Relacao do TP;PT Ratio;;;;;;Transformador;Transformer;Transformador;Parâmetro;;;SDp_AVR_$MMXN1$SP$PTRel$setMag$i \ SDp_AVR_$MMXN1$SP$PTRel$setMag$f;;CDC
7ef8b64ef69645cba9daebd7d6f5d8b3;1;RW;16;MdbWrTab;Holding register;7;Analog output;8;1;9999;100;1;;;;;;;;;Público;Parâmetro de ajuste da relação de transformação do TC;Parameter of CT transformer ratio adjustment;Parámetro de ajuste de la relación de transformación de TC;Relacao do TC;CT Ratio;;;;;;Transformador;Transformer;Transformador;Parâmetro;;;SDp_AVR_$MMXN1$SP$CTRel$setMag$i \ SDp_AVR_$MMXN1$SP$CTRel$setMag$f;;CDC
6761268567ca49c88b058167e248a38b;1;RW;16;MdbWrTab;Holding register;8;Analog output;9;10;99;80;1;%;%;%;;;;;;Público;Parâmetro de alarme por queda excessiva da tensão medida no TP;Parameter of alarm by voltage underflow measured on PT;Parámetro de alarma por caída excesiva de tensión medida en el TP;Alarme U<;U< Alarm;;;;;;Alarmes;Alarms;Alarmas;Parâmetro;;Sim;;;CDC
1c03865236114f5e9a6c9d6022daa192;1;RW;0x0004;MdbWrTab;Holding register;9;Binary output;58;0;1;0;1;;;;0=Não\1=Sim;0=No\1=Yes;0=No\1=Sí;;;Público;Parâmetro de associação do relé 3 ao alarme por queda excessiva da tensão medida no TP;Parameter of relay 3 assigned to alarm by underflow voltage measured on PT;Parámetro para asociar el relé 3 con alarma por caída excesiva de tensión medida en el TP ;Rele Alarme U<;U< Alarm Relay;;;;;;;;;;;;;;CDC
