UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
3dfb5e757b4947e5980765bc82a1ba8d;1;RW;16;TabEscritaSaidaAnalogica2;Holding register;0;Analog output;0;0;4;4;1;;;;0=0-1mA\1=0-5mA\2=0-10mA\3=0-20mA\4=4-20mA;0=0-1mA\1=0-5mA\2=0-10mA\3=0-20mA\4=4-20mA;0=0-1mA\1=0-5mA\2=0-10mA\3=0-20mA\4=4-20mA;;;Público;Parâmetro de escala de saída mA;Parameter of mA output scale;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20e0e8fb50dd40179ef600e01845945c;1;RW;16;TabEscritaGeralParte1;Holding register;1;Analog output;1;0;3;0;1;;;;0=Nenhum\1=RTD A\2=RTD B\3=Ambos;0=None\1=RTD A\2=RTD B\3=Both;0=Ninguno\1=RTD A\2=RTD B\3=Ambos;;;Público;Parâmetro de configuração de RTD;Parameter of RTD configuration;;;;;;;;;Temperaturas;;;Parâmetro;;;;;
480d30bac55844e88b563426e116dac9;1;RW;16;TabEscritaGeralParte1;Holding register;2;Analog output;2;0;2;0;1;;;;0=Português\1=Inglês\2=Espanhol;0=Portuguese\1=English\2=Spanish;0=Portugués\1=Inglés\2=Español;;;Público;Parâmetro de idioma de interface;Parameter of interface language;Parámetro de idioma de interfaz;;;;;;;;;;;;;;;;
9f662a7f217a4f998363fdac07b597ab;1;RW;16;TabEscritaGeralParte1;Holding register;3;Analog output;3;1;720;12;1;h;h;h;;;;;;Público;Parâmetro de intervalo de tempo para gravação das medições na memória de massa;Parameter of time interval to record measurements in mass storage;Parámetro de intervalo de tiempo para grabación de las mediciones en la memoria de masa;;;;;;;;;;;;;;;;
52675838780748b497fbca62b49fbc8f;1;RW;16;TabEscritaGeralParte1;Holding register;4;Analog output;4;0;90;30;1;dias;days;días;;;;;;Público;Parâmetro de constante de tempo para cálculo de tendências de evolução;Parameter of time constant to calculate evolution trends;Parámetro de constante de tiempo para cálculo de tendencias de evolución;;;;;;;;Tendências;;;Parâmetro;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25549093e5424a69b663bd9815f0c3c1;1;RW;16;TabEscritaIfugaMinConj1;Holding register;5;Analog output;5;8;1000;50;10;mA;mA;mA;;;;Conj_1;;Público;Parâmetro de corrente de fuga mínima - Conjunto 1;Parameter of minimal leakage current on set 1;;;;;;;;;Alarmes - Corrente de fuga;;;Parâmetro;;Sim;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32213fa1fd4e448283332c05a9ef921b;1;RW;16;TabEscritaConj1ModuloMedida;Holding register;6;Analog output;6;1;3;1;1;;;;;;;;;Público;Parâmetro de número de conjuntos ativos;Parameter of active sets number;;;;;;;;;;;;Debug;;;;;
