UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
9b659a8311594487bc5508e3f6e0a37c;1;R;16;TabVersionInfo;Input register;0;Analog input;0;406;406;406;1;;;;;;;;;Público;Indicação de código do equipamento;Indication of equipment code;;;;;;;;;;;;;;;;;
c038c81b50c24369ad934875b4e8afab;1;R;16;TabVersionInfo;Input register;1;Analog input;1;0;65535;0;1;;;;;;;;;Público;Indicação de versão do firmware da funcionalidade;Indication of firmware version of the functionality;;;;;;;;;;;;;;;SDp_BMC_$LPHD1$MX$Firm$mag$f \ SDp_BMC_$LPHD1$MX$Firm$mag$i \ SDp_BMC_$LPHD1$MX$Firm$instMag$f \ SDp_BMC_$LPHD1$MX$Firm$instMag$i;;
a20528c742114ef1913efce5de6e1164;1;R;16;TabVersionInfo;Input register;2;Analog input;2;0;65535;0;1;;;;;;;;;Público;Indicação de liberação do firmware da funcionalidade;Indication of firmware release for the functionality;;;;;;;;;;;;;;;SDp_BMC_$LPHD1$MX$Rls$mag$f \ SDp_BMC_$LPHD1$MX$Rls$mag$i \ SDp_BMC_$LPHD1$MX$Rls$instMag$f \ SDp_BMC_$LPHD1$MX$Rls$instMag$i;;
97f374130cfe4497ad4c94c8cc0a5d95;1;R;16;TabVersionInfo;Input register;3;;;0;65535;0;1;;;;;;;;;Público;Indicação de commits à frente da última tag.;Indication of commits ahead of the last tag.;;;;;;;;;;;;;;;;;
c4ca211969434fc9a2941589971dba4d;1;R;32_ABCD;TabVersionInfo;Input register;4;;;0;4294967295;0;1;;;;;;;;;Público;Indicação de hash do commit;Indication of hash of the commit;;;;;;;;;;;;;;;;;
0986caf5e2b6441f91ff78e43ab02a8f;1;R;16;TabVersionInfo;Input register;6;;;0;1;0;1;;;;0=Não\1=Sim;0=No\1=Yes;;;;Público;Indicação de alterações não commitadas;Indication of uncommitted changes;;;;;;;;;;;;;;;;;
91b5c11a2afe4f7c9ad70dcfdb7d1248;1;R;16;TabVersionInfo;Input register;7;Analog input;3;0;65535;0;1;;;;;;;;;Público;Indicação de versão do mapa;Indication of map version;;;;;;;;;;;;;;;;;
b6b77eb0ab894d45ae46c848eca93dd2;1;R;16;TabVersionInfo;Input register;8;Analog input;4;0;65535;0;1;;;;;;;;;Público;Indicação de versão do firmware do bootloader;Indication of firmware version of the bootloader;;;;;;;;;;;;;;;;;
acead1519caa419692ceadaeb37a6c21;1;R;16;TabVersionInfo;Input register;9;Analog input;5;0;65535;0;1;;;;;;;;;Público;Indicação de liberação do firmware do bootloader;Indication of firmware release of the bootloader;;;;;;;;;;;;;;;;;
0d91091ac5464827bc07070f793f0a73;1;R;32_ABCD\32;TabVersionInfo;Input register;10;Analog input;6;0;4294967295;0;1;;;;;;;;;Público;Indicação de número de série;Indication of serial number;;;;;;;;;;;;;;;SDp_BMC_$LPHD1$MX$SerNum$mag$f \ SDp_BMC_$LPHD1$MX$SerNum$mag$i \ SDp_BMC_$LPHD1$MX$SerNum$instMag$f \ SDp_BMC_$LPHD1$MX$SerNum$instMag$i;;
0160fd35246149b3899db1b4c70a5fe9;1;R;16;TabVersionInfo;Input register;12;Analog input;7;0;65535;0;1;;;;;;;;;Público;Indicação de revisão de placa;Indication of board revision;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7711a940bc3a48b2b9518f2891548cb6;1;R;16;TabMeasurementsData;Input register;100;Analog input;28;0;65535;0;1;;;;;;;;;Público;Indicação de número de medições;Indication of number of measurements;;;;;;;;;;;;;;;SDp_BMC_$LPHD1$MX$NumMag$mag$f \ SDp_BMC_$LPHD1$MX$NumMag$mag$i \ SDp_BMC_$LPHD1$MX$NumMag$instMag$f \ SDp_BMC_$LPHD1$MX$NumMag$instMag$i;;
c2eb5e38bab84066a642baee51715744;1;R;FLOAT_ABCD\FLOAT;TabMeasurementsData;Input register;101;Analog input;29;4700;6300;0;100;Hz;Hz;Hz;;;;;;Público;Indicação de frequência da componente fundamental - IA;Indication of frequency of the fundamental component - IA;;;;;;;;;;;;;;;SDp_BMC_$ZBSH1$MX$HzLeakA$mag$f \ SDp_BMC_$ZBSH1$MX$HzLeakA$mag$i \ SDp_BMC_$ZBSH1$MX$HzLeakA$instMag$f \ SDp_BMC_$ZBSH1$MX$HzLeakA$instMag$i;;
c5bce8d8c39048219b93d45c66b23bff;1;R;FLOAT_ABCD\FLOAT;TabMeasurementsData;Input register;103;Analog input;30;0;240000;0;1000;mA;mA;mA;;;;;;Público;Indicação de amplitude RMS da componente fundamental - IA;Indication of RMS amplitude of the fundamental component - IA;;;;;;;;;;;;;;;SDp_BMC_$ZBSH1$MX$RmsLeakA$mag$f \ SDp_BMC_$ZBSH1$MX$RmsLeakA$mag$i \ SDp_BMC_$ZBSH1$MX$RmsLeakA$instMag$f \ SDp_BMC_$ZBSH1$MX$RmsLeakA$instMag$i;;
cb4b85bafe6f47138f242d0c4826e1a6;1;R;FLOAT_ABCD\FLOAT;TabMeasurementsData;Input register;105;Analog input;31;0;36000;0;100;º;º;º;;;;;;Público;Indicação de ângulo de fase da fundamental - IA;Indication of phase angle of the fundamental - IA;;;;;;;;;;;;;;;SDp_BMC_$ZBSH1$MX$AngLeakA$mag$f \ SDp_BMC_$ZBSH1$MX$AngLeakA$mag$i \ SDp_BMC_$ZBSH1$MX$AngLeakA$instMag$f \ SDp_BMC_$ZBSH1$MX$AngLeakA$instMag$i;;
ac5f36316bba44b29981acd8467cca11;1;R;FLOAT_ABCD\FLOAT;TabMeasurementsData;Input register;107;Analog input;32;0;240000;0;1000;mA;mA;mA;;;;;;Público;Indicação de valor True RMS - IA;Indication of value True RMS - IA;;;;;;;;;;;;;;;SDp_BMC_$ZBSH1$MX$TrueRmsLeakA$mag$f \ SDp_BMC_$ZBSH1$MX$TrueRmsLeakA$mag$i \ SDp_BMC_$ZBSH1$MX$TrueRmsLeakA$instMag$f \ SDp_BMC_$ZBSH1$MX$TrueRmsLeakA$instMag$i;;
b5e59dd1893f43de961aed538ea2b933;1;R;FLOAT_ABCD\FLOAT;TabMeasurementsData;Input register;109;Analog input;33;-240000;240000;0;1000;mA;mA;mA;;;;;;Público;Indicação de valor DC - IA;Indication of value DC - IA;;;;;;;;;;;;;;;SDp_BMC_$ZBSH1$MX$DCLeakA$mag$f \ SDp_BMC_$ZBSH1$MX$DCLeakA$mag$i \ SDp_BMC_$ZBSH1$MX$DCLeakA$instMag$f \ SDp_BMC_$ZBSH1$MX$DCLeakA$instMag$i;;
