UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
9ebe831639c04aaca6da1ca819071404;1;R;0x0001;;Holding register;0;Binary input;0;0;1;;1;;;;0=Não\1=Sim;0=No\1=Yes;;GENERAL;;Público;Indicação de existência de mestre na rede de comunicação;Indication of existence of a master in the communication network;;;;;;;;;;;;;;;;;CDC
843f209cb85349a5967ec85ac1a64f25;1;R;0x0002;;Holding register;0;Binary input;1;0;1;;1;;;;0=Não\1=Sim;0=No\1=Yes;;GENERAL;;Público;Indicação de existência de mais de um mestre na rede de comunicação;Indication of more than one master in the communication network;;;;;;;;;;;;;;;;;CDC
fc7f0e7e15ea4f4daa03be3b8f7db210;1;R;0x0004;;Holding register;0;Binary input;2;0;1;;1;;;;0=Não acionado\1=Acionado;0=Not triggered\1=Triggered;;GENERAL;;Público;Indicação de autodiagnóstico por erro de programação do sistema;Indication of self-diagnosis for system programming error;;E04;E04;E04;;;;;Autodiagnósticos;Self-diagnosis;;Autodiagnóstico;;;;;CDC
907db88bfbd043dcb166c0509407279d;1;R;0x0008;;Holding register;0;Binary input;3;0;1;;1;;;;;;;GENERAL;;Público;Indicação de existência de comandado na rede de comunicação;Indication of existence of followers in the communication network;;;;;;;;;;;;;;;;;CDC
1acafc3bbc1f47c1866d6425716ed5ac;1;R;0x0010;;Holding register;0;Binary input;4;0;1;;1;;;;;;;GENERAL;;Público;Indicação de autodiagnóstico por erro na comunicação no sistema;Indication of self-diagnosis for error on system comunication;;;;;;;;;;;;;;;;;CDC
d387355a982d402da5e6461ab2820c16;1;R;0x0020;;Holding register;0;Binary input;5;0;1;;1;;;;;;;GENERAL;;Público;Indicação de mestre pronto para efetuar comutação;Indication of master ready to change tap;;;;;;;;;;;;;;;;;CDC
bbf2405db4bc4f4db3c12744e1462282;1;R;0x0040;;Holding register;0;Binary input;6;0;1;;1;;;;0=Não acionado\1=Acionado;0=Not triggered\1=Triggered;;GENERAL;;Público;Indicação de autodiagnóstico por erro de leitura da posição de tap no sistema;Indication of self-diagnosis for tap position reading error;;E08;E08;E08;;;;;Autodiagnósticos;Self-diagnosis;;Autodiagnóstico;;;;;CDC
62fcbd95757444c19f249c28b8d79f2f;1;R;0x0080;;Holding register;0;Binary input;7;0;1;;1;;;;;;;GENERAL;;Público;Indicação de mestre no modo automático;Indication of master on automatic mode;;;;;;;;;;;;;;;;;CDC
425be65862aa44bdb0cc5babca93bef7;1;R;16;;Holding register;1;Analog input;0;2;50;;1;;;;;;;GENERAL;;Público;Indicação de posição de tap do mestre;'Indication of master''s tap position';;;;;ALERTA(Lê valor fora da faixa [0] caso não exista SPS mestre)!!!;;;;;;;;;;;;CDC
ff7beef493234408bbd43f1243677fd8;1;R;16;;Holding register;2;Analog input;1;2;50;;1;;;;;;;SPS1;;Público;SPS1 : Indicação de posição de tap;SPS1 : Indication of tap position;;;;;ALERTA(Lê valor fora da faixa [63] caso não exista SPS com ADR=1)!!!;;;;Tap;Tap;;Geral;Sim;Sim;SDp_SPS1_$YLTC1$ST$TapPosInd$stVal;;CDC
