UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
afa39544118f4a80bd5660de1c8a061d;1;R;0x0001;;Holding register;0;Binary input;24;0;1;;1;;;;;;;;;Público;Indicação de versão do produto - DM1;Indication of product version - DM1;Indicación de versión del producto - DM1;;;;;;;;;;;Debug;;;;;
b83059c5394246a69d4180f46fa7c5bc;1;R;0x0002;;Holding register;0;Binary input;25;0;1;;1;;;;;;;;;Público;Indicação de versão do produto - DM2;Indication of product version - DM2;Indicación de versión del producto - DM2;;;;;;;;;;;Debug;;;;;
3ea3b1b7423848018d976dcab1e32910;1;R;0x0004;;Holding register;0;Binary input;26;0;1;;1;;;;;;;;;Público;Indicação de versão do produto - DM3;Indication of product version - DM3;Indicación de versión del producto - DM3;;;;;;;;;;;Debug;;;;;
b450d1775de048d29fc7cbb218faf707;1;R;0x0008;;Holding register;0;Binary input;27;0;1;;1;;;;;;;;;Público;Indicação de placa master (Y1 a Y08) existente - Módulo com 8 entradas;Indication of existing master board (Y1 to Y08) - 8 inputs module;Indicación de placa master (Y1 a Y08) existente - módulo con 8 entradas;;;;;;;;;;;Debug;;;;;
af94dce308a647e39e42c8342ddb0e34;1;R;0x0010;;Holding register;0;Binary input;28;0;1;;1;;;;;;;;;Público;Indicação de placa slave 1 (Y9 a Y16) existente - Módulo com 16 entradas;Indication of existing slave board 1 (Y9 to Y16) - 16 inputs module;Indicación de placa slave 1 (Y9 a Y16) existente - módulo con 16 entradas;;;;;;;;;;;Debug;;;;;
084b280996c24eccb3fea60123b1a8a4;1;R;0x0020;;Holding register;0;Binary input;29;0;1;;1;;;;;;;;;Público;Indicação de placa slave 2 (Y17 a Y24) existente - Módulo com 24 entradas;Indication of existing slave board 2 (Y17 to Y24) - 24 inputs module;Indicación de placa slave 2 (Y17 a Y24) existente - módulo con 24 entradas;;;;;;;;;;;Debug;;;;;
ab243aa560ff409da927b3cac8a1f4b7;1;R;0x0040;;Holding register;0;Binary input;30;0;1;;1;;;;0=Não acionado\1=Acionado;0=Not triggered\1=Triggered;0=No accionado\1=Accionado;;;Público;Indicação de autodiagnóstico de falha interna na placa slave 1;Indication of internal failure on slave board 1 self-diagnosis;Indicación de autodiagnóstico de falla interna en la placa slave 1;;;;;;;;;;;;;;;;
04be20c482534fb6a40e78623461ba2c;1;R;0x0080;;Holding register;0;Binary input;31;0;1;;1;;;;0=Não acionado\1=Acionado;0=Not triggered\1=Triggered;0=No accionado\1=Accionado;;;Público;Indicação de autodiagnóstico de falha interna na placa slave 2;Indication of internal failure on slave board 2 self-diagnosis;Indicación de autodiagnóstico de falla interna en la placa slave 2;;;;;;;;;;;;;;;;
f728667dbdea4c419a4a8351f8c6f129;1;R;0x0001;;Holding register;1;Binary input;0;0;1;;1;;;;0=Não acionado\1=Acionado;0=Not triggered\1=Triggered;0=No accionado\1=Accionado;;;Público;Indicação de estado da entrada Y01;Indication of input Y01 status;Indicación de estado de la entrada Y01;;;;;;;;;;;Debug;;;SDp_DM1_$GGIO1$ST$Ind1$stVal;;
bd16c2c5b8f4444eb570e70442b423b6;1;R;0x0002;;Holding register;1;Binary input;1;0;1;;1;;;;0=Não acionado\1=Acionado;0=Not triggered\1=Triggered;0=No accionado\1=Accionado;;;Público;Indicação de estado da entrada Y02;Indication of input Y02 status;Indicación de estado de la entrada Y02;;;;;;;;;;;Debug;;;SDp_DM1_$GGIO1$ST$Ind2$stVal;;
