UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade;Grupo;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC;
9647f6c3db664deb8a5d1eab73000bbf;1;R;16;;Holding register;0;;;0;65535;;1;;;;;;;;;Reservado;Reservado;;;;;;;;;;;;;;;
bbe367fdd395494293e24b411ff6603e;1;RW;0x0001;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y1;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO1$Oper$ctlVal;;;
749ea075d29642479715c4f3a71d56a1;1;RW;0x0002;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y2;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO2$Oper$ctlVal;;;
7c3430133f13439b9d096ff594b37479;1;RW;0x0004;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y3;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO3$Oper$ctlVal;;;
320bbc16a7a2471bba6769a3f252aac5;1;RW;0x0008;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y4;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO4$Oper$ctlVal;;;
e03c9a47d1114e03bde51125fc358626;1;RW;0x0010;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y5;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO5$Oper$ctlVal;;;
f6bf12be7f664c168f8af67af3f364ae;1;RW;0x0020;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y6;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO6$Oper$ctlVal;;;
0885333dc8b2460bbb650ed7031ded82;1;RW;0x0040;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y7;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO7$Oper$ctlVal;;;
0a20deba244b42d298b3d6fd19fe7d85;1;RW;0x0080;;Holding register;1;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y8;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO8$Oper$ctlVal;;;
32d7fe161139443996684b5c422d8922;1;RW;0x0001;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y9;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO9$Oper$ctlVal;;;
0656ae753029473bae8cb0548801246f;1;RW;0x0002;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y10;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO10$Oper$ctlVal;;;
ea5867110be4454b92f0acd89f621ccb;1;RW;0x0004;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y11;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO11$Oper$ctlVal;;;
dd0f5e345fd341a290d53a3297b6e3eb;1;RW;0x0008;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y12;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO12$Oper$ctlVal;;;
48806f482852420b93ec3fb3dd46e0ba;1;RW;0x0010;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y13;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO13$Oper$ctlVal;;;
79882ed3eede4403bd6e05162ef5ef49;1;RW;0x0020;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y14;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO14$Oper$ctlVal;;;
7cadac2b4eef4801aa0497e094fc1f20;1;RW;0x0040;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y15;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO15$Oper$ctlVal;;;
871b826bf22a466e860650b97b802965;1;RW;0x0080;;Holding register;2;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y16;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO16$Oper$ctlVal;;;
24172b6ba5954e5d8e465fa5921efaf9;1;RW;0x0001;;Holding register;3;;;0;1;;1;;;;0=Contato Aberto\1=Contato fechado;;;;;Público;Comando de fechar contato Y17;;;;;;;;;;;;SDp_DM3_$GGIO1$CO$SPCSO17$Oper$ctlVal;;;
