UUID,Teste automático,Modo,Tratamento,Tabela (Modbus),Tipo (Modbus),Registrador (Modbus),Tipo (DNP3),Índice (DNP3),Limite inferior,Limite superior,Valor default,Divisor,Unidade pt,Unidade en,Unidade es,Conversão pt,Conversão en,Conversão es,Opcional,Condicional,Nível de acesso,Descrição pt,Descrição en,Descrição es,Display pt,Display en,Display es,Observações,Funcionalidade pt,Funcionalidade en,Funcionalidade es,Grupo pt,Grupo en,Grupo es,Classificação,Gráfico rápido,Histórico de dados,IEC 61850,Link,CDC
38985012dfe14d75b216c5ac6c3d95c7,1,RW,16,MdbWrTab,Holding register,0,Analog output,0,0,2,0,1,,,,0=Português\1=Inglês\2=Espanhol,0=Portuguese\1=English\2=Spanish,0=Portugués\1=Inglés\2=Español,,,Público,Parâmetro de idioma de interface,Parameter of interface language,Parámetro de idioma de interfaz,,,,,,,,,,,,,,,,
a21d1b40456a432d8bd1c30209e8b3c5,1,RW,16,MdbWrTab,Holding register,1,Analog output,1,1,31,1,1,,,,,,,,,Público,Parâmetro de ajuste do relógio - Dia,Parameter of clock adjustment - Day,Parámetro de ajuste del reloj - Dia,,,,,,,,,,,,,,,,
e85d137d79ca4958933a24035fe2120e,1,RW,16,MdbWrTab,Holding register,2,Analog output,2,1,12,1,1,,,,,,,,,Público,Parâmetro de ajuste do relógio - Mês,Parameter of clock adjustment - Month,Parámetro de ajuste del reloj - Mes,,,,,,,,,,,,,,,,
f4f1800dd2e34a7894c0bea23684fd22,1,RW,16,MdbWrTab,Holding register,3,Analog output,3,0,37,0,1,,,,,,,,,Público,Parâmetro de ajuste do relógio - Ano,Parameter of clock adjustment - Year,Parámetro de ajuste del reloj - Año,,,,,,,,,,,,,,,,
59345951ea73484d9dc7e1f28bc7fce3,1,RW,16,MdbWrTab,Holding register,4,Analog output,4,0,23,0,1,h,h,h,,,,,,Público,Parâmetro de ajuste do relógio - Hora,Parameter of clock adjustment - Hour,Parámetro de ajuste del reloj - Hora,,,,,,,,,,,,,,,,
8f4e5c66cbd04aa8aa5464480adb67d3,1,RW,16,MdbWrTab,Holding register,5,Analog output,5,0,59,0,1,min,min,min,,,,,,Público,Parâmetro de ajuste do relógio - Minuto,Parameter of clock adjustment - Minute,Parámetro de ajuste del reloj - Minuto,,,,,,,,,,,,,,,,
1de0a89e387849848782517e77fa7f6b,1,RW,16,MdbWrTab,Holding register,6,Analog output,6,0,2000,200,1,ppm,ppm,ppm,,,,,,Público,Parâmetro de alarme por concentração de H2 alta,Parameter of high H2 concentration alarm,Parámetro de alarma por concentración de H2 alta,H2A,H2H,H2A,,,,,Alarmes de Gás,,,Parâmetro,,,,,
d323d0ef540e41d28812d28172a70501,1,RW,16,MdbWrTab,Holding register,7,Analog output,7,0,2000,300,1,ppm,ppm,ppm,,,,,,Público,Parâmetro de alarme por concentração de H2 muito alta,Parameter of very high H2 concentration alarm,Parámetro de alarma por concentración de H2 muy alta,H2MA,H2VH,H2MA,,,,,Alarmes de Gás,,,Parâmetro,,,,,
6d8d01400d5040d0bdf7998b7ad37654,1,RW,16,MdbWrTab,Holding register,8,Analog output,8,0,2000,0,1,,,,,,,,,Reservado,Reservado,,,,,,,,,,,,,,,,,,
edfb0156760a4a94bfe2c50b9b377984,1,RW,16,MdbWrTab,Holding register,9,Analog output,9,0,2000,0,1,,,,,,,,,Reservado,Reservado,,,,,,,,,,,,,,,,,,
