UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
f2e0969b6e6e461397ad2ec9898e3fbc;1;R;32_ABCD;TabLeituraHwInfo;Input register;45000;Analog input;20;0;999999;0;1;;;;;;;;;Público;Indicação de número de série;Indication of serial number;Indicación de número de serie;;;;;;;;Informações do IED;IED Informations;;Geral;;;SDp_GMP_$LPHD1$MX$SerNum$mag$f \ SDp_GMP_$LPHD1$MX$SerNum$mag$i \ SDp_GMP_$LPHD1$MX$SerNum$instMag$f \ SDp_GMP_$LPHD1$MX$SerNum$instMag$i;;
5e5ee4ccce0f42fab5587fd3ed71b2ba;1;R;16;TabLeituraHwInfo;Input register;45002;Analog input;18;0;65535;;100;;;;;;;;;Público;Indicação de versão de firmware;Indication of firmware version number;Indicación de número de la versión de firmware;;;;;;;;Informações do IED;IED Informations;;Geral;;;SDp_GMP_$LPHD1$MX$FirmNum$mag$f \ SDp_GMP_$LPHD1$MX$FirmNum$mag$i \ SDp_GMP_$LPHD1$MX$FirmNum$instMag$f \ SDp_GMP_$LPHD1$MX$FirmNum$instMag$i;;
fca3d1e67301499b9e59f1688bce6f24;1;R;16;TabLeituraHwInfo;Input register;45003;Analog input;19;0;65535;;1;;;;;;;;;Público;Indicação de número da release de firmware;Indication of firmware release number;Indicación de número de release de firmware;;;;;;;;Informações do IED;IED Informations;;Geral;;;SDp_GMP_$LPHD1$MX$FirmRls$mag$f \ SDp_GMP_$LPHD1$MX$FirmRls$mag$i \ SDp_GMP_$LPHD1$MX$FirmRls$instMag$f \ SDp_GMP_$LPHD1$MX$FirmRls$instMag$i;;
9f49508b221845388ffb2d78a344d54b;1;R;16;TabLeituraHwInfo;Input register;45004;Analog input;22;0;65535;;100;;;;;;;;;Público;Indicação de versão do bootloader;Indication of bootloader version number;Indicación de número de la versión de bootloader;;;;;;;;;;;Debug;;;SDp_GMP_$LPHD1$MX$BootRls$mag$f \ SDp_GMP_$LPHD1$MX$BootRls$mag$i \ SDp_GMP_$LPHD1$MX$BootRls$instMag$f \ SDp_GMP_$LPHD1$MX$BootRls$instMag$i;;
0a2a4fdd7c604aebae3f9f487d19c5dd;1;R;16;TabLeituraHwInfo;Input register;45005;Analog input;23;0;65535;;1;;;;;;;;;Público;Indicação de release do bootloader;Indication of bootloader release number;Indicación de número de release de bootloader;;;;;;;;;;;Debug;;;SDp_GMP_$LPHD1$MX$Boot$mag$f \ SDp_GMP_$LPHD1$MX$Boot$mag$i \ SDp_GMP_$LPHD1$MX$Boot$instMag$f \ SDp_GMP_$LPHD1$MX$Boot$instMag$i;;
cd450cfdf6d94b59a087f6647845095f;1;R;16;TabLeituraHwInfo;Input register;45006;Analog input;17;0;65535;;1;;;;112=GMP 2\127=GMP 3;112=GMP 2\127=GMP 3;112=GMP 2\127=GMP 3;;;Público;Indicação de código do produto;Indication of product ID;Indicación de código del producto (127);;;;;;;;;;;Debug;;;SDp_GMP_$LPHD1$MX$cod$mag$f \ SDp_GMP_$LPHD1$MX$cod$mag$i \ SDp_GMP_$LPHD1$MX$cod$instMag$f \ SDp_GMP_$LPHD1$MX$cod$instMag$i;;
c809babe9729461c8d14b764fa940889;1;R;16;TabLeituraHwInfo;Input register;45007;;;0;65535;;1;;;;;;;;;Público;Indicação de número de versão da tabela de hardware;Indication of version number of hardware table;Indicación de número de la versión de la tabla de hardware;;;;;;;;;;;Debug;;;SDp_GMP_$LPHD1$MX$hwRev1$mag$f \ SDp_GMP_$LPHD1$MX$hwRev1$mag$i \ SDp_GMP_$LPHD1$MX$hwRev1$instMag$f \ SDp_GMP_$LPHD1$MX$hwRev1$instMag$i;;
9a38eb2da4a34f6cb5eaf809b47f3c47;1;R;16;TabLeituraHwInfo;Input register;45008;;;0;65535;;1;;;;;;;;;Público;Indicação de número de release da tabela de hardware;Indication of release number of hardware table;Indicación de número de release de la tabla de hardware;;;;;;;;;;;Debug;;;SDp_GMP_$LPHD1$MX$hwRev2$mag$f \ SDp_GMP_$LPHD1$MX$hwRev2$mag$i \ SDp_GMP_$LPHD1$MX$hwRev2$instMag$f \ SDp_GMP_$LPHD1$MX$hwRev2$instMag$i;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a3432e38530b4134a54ef251f5adc445;1;RW;16;TabEscritaHwConfig;Holding register;45000;Analog output;35;0;65535;0;1;;;;;;;;;Privado;Reset posição 1;;;;;;;;;;;;;;;;;;
