UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
455b2b73f26246308425e12fda4a103b;1;R;16;TabRAMInterna;Holding register;16000;;;0;65535;;1;;;;;;;;;Uso interno;Dados RAM Interna;;;;;;MASSA(100)!!!;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00d25c8600fc4ae5a73d3fa5ec913080;1;RW;0x0001;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (1000 ~ 1099);;;;;;;;;;;;;;;;;;
43341e673c114d8ca9beff72c410caf9;1;RW;0x0002;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (1100 ~ 1199);;;;;;;;;;;;;;;;;;
c59c34c87b204026b376277b4834af76;1;RW;0x0100;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (2000 ~ 2099);;;;;;;;;;;;;;;;;;
01d00408cf3c424e900d73a672c45e86;1;RW;0x0200;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (2100 ~ 2199);;;;;;;;;;;;;;;;;;
e33cd3957a8e417aa5d89d23d94dcfa8;1;RW;0x0400;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (2200 ~ 2299);;;;;;;;;;;;;;;;;;
4f66a3c7b51742a6a80f9a9b1f242225;1;RW;0x0800;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (2300 ~ 2399);;;;;;;;;;;;;;;;;;
ba22bdd60c274d9fb72fc42d07510e1e;1;RW;0x1000;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (2400 ~ 2499);;;;;;;;;;;;;;;;;;
7d9f20b29720426bad8dbf06ff7913b6;1;RW;0x2000;FlagAlteracao;Holding register;0;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (2500 ~ 2599);;;;;;;;;;;;;;;;;;
0ac98c44149543f3b94646d6389b78dd;1;RW;0x0001;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (17000 ~ 17099);;;;;;;;;;;;;;;;;;
11f02d6517be4852a4b958d6e361eb01;1;RW;0x0002;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (17100 ~ 17199);;;;;;;;;;;;;;;;;;
e402363aca3c45828b9b9d79a20fc63c;1;RW;0x0004;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (17200 ~ 17299);;;;;;;;;;;;;;;;;;
ceed6c8044bc46658163fba066df7188;1;RW;0x0008;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (17300 ~ 17399);;;;;;;;;;;;;;;;;;
e6d09ece17e446f3809703c422a30f82;1;RW;0x0010;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (19000 ~ 19099);;;;;;;;;;;;;;;;;;
a3a1b2a926da4aa1907163e1b857d83b;1;RW;0x0020;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (19100 ~ 19199);;;;;;;;;;;;;;;;;;
1782bfb0486847598a2a74bb6d4a656a;1;RW;0x0040;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (19200 ~ 19299);;;;;;;;;;;;;;;;;;
9207e28c7c3f4a97b63de42bf4aff4d6;1;RW;0x0080;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (19300 ~ 19399);;;;;;;;;;;;;;;;;;
304fee4695f842dd8b0224e2080e9a60;1;RW;0x0100;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (21000 ~ 21099);;;;;;;;;;;;;;;;;;
cdb88bb22a7f44ce9497e1859ad8b2f3;1;RW;0x0200;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (21100 ~ 21199);;;;;;;;;;;;;;;;;;
e1db89b3aee540e8ae4fdcb668150fbd;1;RW;0x0400;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (21200 ~ 21299);;;;;;;;;;;;;;;;;;
e3baa602287048f9b7344f9ea6b84507;1;RW;0x0800;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (21300 ~ 21399);;;;;;;;;;;;;;;;;;
4d7a561d2dbe4470b900c741b5f44db4;1;RW;0x1000;FlagAlteracao;Holding register;1;;;0;1;0;1;;;;;;;;;Uso interno;Flag de alteração dos registros (23000 ~ 23099);;;;;;;;;;;;;;;;;;
