UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
da141e7744bc4f6cb113bc0f8a3ed1c8;1;R;16;TabLeituraGeral;Input register;1;Analog input;8;0;65535;0;1;;;;;;;;;Público;Indicação de segundo conjunto de alarmes;Indication of second alarms set;;;ALR2;;;;;;;;;Alarme;;;;;
faaeac63ce6248358e238d39533d0af3;1;R;16;TabLeituraGeral;Input register;2;Analog input;9;0;65535;0;1;;;;;;;;;Público;Indicação de primeiro conjunto da memória de alarmes;Indication of first alarms memory set;;;ALM1;;;;;;;;;Debug;;;;;
acbe22861de3430985062431012c896c;1;R;16;TabLeituraGeral;Input register;3;Analog input;10;0;65535;0;1;;;;;;;;;Público;Indicação de segundo conjunto da memória de alarmes;Indication of second alarms memory set;;;ALM2;;;;;;;;;Debug;;;;;
b0d170be382d4bb88f84a4b22dcee724;1;R;16;TabLeituraGeral;Input register;4;Analog input;11;0;65535;0;1;;;;;;;;;Público;Indicação de primeiro conjunto de autodiagnósticos;Indication of first self-diagnosis set;;;SDG1;;;;;;;;;Autodiagnóstico;;;;;
d5e20267f5cb4a1f9bb9d026116d9e95;1;R;16;TabLeituraGeral;Input register;5;Analog input;12;0;65535;0;1;;;;;;;;;Público;Indicação de segundo conjunto de autodiagnósticos;Indication of second self-diagnosis set;;;SDG2;;;;;;;;;Autodiagnóstico;;;;;
c71e101e4d74423d8715cc0065c3ed66;1;R;16;TabLeituraGeral;Input register;6;Analog input;13;0;65535;0;1;;;;;;;;;Público;Indicação de primeiro conjunto da memória de autodiagnósticos;Indication of first self-diagnosis memory set;;;DGM1;;;;;;;;;Debug;;;;;
03caba88059146be9a8ffbacf94b98fa;1;R;16;TabLeituraGeral;Input register;7;Analog input;14;0;65535;0;1;;;;;;;;;Público;Indicação de segundo conjunto da memória de autodiagnósticos;Indication of second self-diagnosis memory set;;;DGM2;;;;;;;;;Debug;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fe72141f95b54c0cb5dcdf203aa9aa8a;1;R;16;TabLeituraRelogio;Input register;100;Analog input;17;0;65535;220;1;ms;;;;;;;;Público;Indicação de timestamp - H;Indication of timestamp - H;;;;;;;;;;;;Debug;;;;;
51e50d192a4f49279f651203a93c599a;1;R;16;TabLeituraRelogio;Input register;101;Analog input;18;0;65535;28057;1;ms;;;;;;;;Público;Indicação de timestamp - M;Indication of timestamp - M;;;;;;;;;;;;Debug;;;;;
4b39ed734faf41199372f3ea9eb0fba5;1;R;16;TabLeituraRelogio;Input register;102;Analog input;19;0;65535;51328;1;ms;;;;;;;;Público;Indicação de timestamp - L;Indication of timestamp - L;;;;;;;;;;;;Debug;;;;;
34f6c3b8e95c471898e81d5554b52238;1;R;16;TabLeituraRelogio;Input register;103;Analog input;20;1;12;1;1;;;;;;;;;Público;Indicação de mês atual no calendário do equipamento;Indication of current month on the equipment calendar;;;MNTH;;;;;;;;;;;;;;
32b6417fa97e4e74a1eea798703805ec;1;R;16;TabLeituraRelogio;Input register;104;Analog input;21;1;31;1;1;;;;;;;;;Público;Indicação de dia atual no calendário do equipamento;Indication of current day on the equipment calendar;;;DAY;;;;;;;;;;;;;;
a838f355af1d46aeb668b7ed7ecda463;1;R;16;TabLeituraRelogio;Input register;105;Analog input;22;2000;2099;2000;1;;;;;;;;;Público;Indicação de ano atual no calendário do equipamento;Indication of current year on the equipment calendar;;;YEAR;;;;;;;;;;;;;;
93ead70db03b4138b61b20d74b70e739;1;R;16;TabLeituraRelogio;Input register;106;Analog input;23;0;23;10;1;;;;;;;;;Público;Indicação de hora atual no relógio do equipamento;Indication of current hour on the equipment clock;;;HOUR;;;;;;;;;;;;;;
9acaf9f751af4d7cb79442f5df140b2e;1;R;16;TabLeituraRelogio;Input register;107;Analog input;24;0;59;0;1;;;;;;;;;Público;Indicação de minuto atual no relógio do equipamento;Indication of current minute on the equipment clock;;;MIN;;;;;;;;;;;;;;
a4120f33e2544bbea065cd4fcafb4143;1;R;16;TabLeituraRelogio;Input register;108;Analog input;25;0;59;0;1;;;;;;;;;Público;Indicação de segundo atual no relógio do equipamento;Indication of current second on the equipment clock;;;SEC;;;;;;;;;;;;;;
a2e33779475549b880105510f5c4facc;1;R;16;TabLeituraRelogio;Input register;109;Analog input;26;-12;14;-3;1;;;;;;;;;Público;Indicação de horas do fuso horário no relógio do equipamento;Indication of time zone hours on the equipment clock;;;TZ H;;;;;;;;;;;;;;
d1c8100df27c4eaca66833491742247b;1;R;16;TabLeituraRelogio;Input register;110;Analog input;27;0;59;0;1;;;;;;;;;Público;Indicação de minutos do fuso horário no relógio do equipamento;Indication of time zone minutes on the equipment clock;;;TZ M;;;;;;;;;;;;;;
1fed734468e3484b9121c482122970c8;1;R;16;TabLeituraRelogio;Input register;111;Analog input;28;0;6;6;1;;;;0=Domingo\1=Segunda-feira\2=Terça-feira\3=Quarta-feira\4=Quinta-feira\5=Sexta-feira\6=Sábado;0=Sunday\1=Monday\2=Tuesday\3=Wednesday\4=Thursday\5=Friday\6=Saturday;;;;Público;Indicação de dia da semana no calendário do equipamento;Indication of weekday on the equipment calendar;;;WDAY;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61bdca84697249628b6e2a54e4645dfb;1;R;16;TabLeituraComunicacao;Input register;600;Analog input;15;0;9999;0;1;;;;;;;;;Uso interno;Indicação de contador de bytes transmitidos pela UART;;;;;;;;;;;;;;;;;;
e4dff89e90354922af3c6144e965c70f;1;R;16;TabLeituraComunicacao;Input register;601;Analog input;16;0;9999;0;1;;;;;;;;;Uso interno;Indicação de contador de bytes recebidos pela UART;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17d2675fad2143baabdceb4a71c742d3;1;R;Bit;TabLeituraBinGeral;Discrete input;0;Binary input;0;0;1;0;1;;;;0=Inativo\1=Ativo;0=Inactive\1=Active;;;;Público;Indicação de autodiagnóstico por erro de parametrização;Indication of self-diagnosis for error on parametrization;;;;;;;;;;;;Autodiagnóstico;;;;;
a9a3dcdd15884f189f9e2427fd35dc16;1;R;Bit;TabLeituraBinGeral;Discrete input;1;Binary input;1;0;1;0;1;;;;0=Inativo\1=Ativo;0=Inactive\1=Active;;;;Público;Indicação de memória de autodiagnóstico por erro de parametrização;Indication of self-diagnosis memory for error on parametrization;;;;;;;;;;;;Debug;;;;;
75ff5d8cf6af4232928061016a3458a2;1;R;Bit;TabLeituraBinGeral;Discrete input;2;Binary input;2;0;1;0;1;;;;0=Inativo\1=Ativo;0=Inactive\1=Active;;;;Público;Indicação de autodiagnóstico por falha na leitura de variáveis auxiliares;Indication of self-diagnosis for fail in auxiliary variables reading;;;;;;;;;;;;Autodiagnóstico;;;;;
