UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
9c363158b21f4fcfa9402fe6c2bc7531;1;R;Bit;bin_table_rd_alarms ;Discrete input;0;Binary input;0;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status do alarme de ruptura da membrana ;;;;;;;;;;;;;;;;SDp_MBR_$SPTR1$ST$MbrAlm$stVal;;
65da8a1094794b45b8a1602f053048f6;1;R;Bit;bin_table_rd_alarms ;Discrete input;1;Binary input;1;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status da memória de alarme de ruptura da membrana ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04abf175f316442c8ab73a6114941386;1;R;Bit;bin_table_rd_autodiag ;Discrete input;100;Binary input;2;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status do autodiagnostico de perda de parametrização ;;;;;;;;;;;;;;;;;;
41fbb0df12f44e3f9903c5014870d2b3;1;R;Bit;bin_table_rd_autodiag ;Discrete input;101;Binary input;3;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status da memória do autodiagnostico de perda de parametrização ;;;;;;;;;;;;;;;;;;
cc12f9b29d2b4e288a79fa681f655006;1;R;Bit;bin_table_rd_autodiag ;Discrete input;102;Binary input;4;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status do autodiagnostico de erro de escrita na memória flash ;;;;;;;;;;;;;;;;;;
f52c3f2c500a43fdb577d2246f94f076;1;R;Bit;bin_table_rd_autodiag ;Discrete input;103;Binary input;5;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status da memória do autodiagnostico de erro de escrita na memória flash ;;;;;;;;;;;;;;;;;;
2bc8899d78b84c19a5809b407db4f77e;1;R;Bit;bin_table_rd_autodiag ;Discrete input;104;Binary input;6;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status do autodiagnostico de fio rompido ou desconectado do sensor da membrana ;;;;;;;;;;;;;;;;;;
1a629a9ca6504051a9459830c586ee48;1;R;Bit;bin_table_rd_autodiag ;Discrete input;105;Binary input;7;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status da memória do autodiagnostico de fio rompido ou desconectado do sensor da membrana ;;;;;;;;;;;;;;;;;;
a1f3465610dc4662a5acb5db05e05c41;1;R;Bit;bin_table_rd_autodiag ;Discrete input;106;Binary input;8;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status do autodiagnostico de erro no sensor de ruptura da membrana ;;;;;;;;;;;;;;;;SDp_MBR_$LPHD1$ST$SensErr$stVal;;
293f98907ed74e20a00f4ddb590ec3e4;1;R;Bit;bin_table_rd_autodiag ;Discrete input;107;Binary input;9;0;1;0;1;;;;0=Não ativo\1=Ativo ;;;;;Público;Status da memória do autodiagnostico de erro no sensor de ruptura da membrana ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0de74a4b264147e987f8a0fe4eb3fc8e;1;R;Bit;bin_table_rd_relay ;Discrete input;200;Binary input;10;0;1;0;1;;;;0=Aberto\1=Fechado;;;;;Público;Status do relé 1 ;;;;;;;;;;;;;;;;SDp_MBR_$GGIO1$ST$Rly1$stVal;;
59b9a16891a24baaa684c35d99469815;1;R;Bit;bin_table_rd_relay ;Discrete input;201;Binary input;11;0;1;0;1;;;;0=Aberto\1=Fechado;;;;;Público;Status do relé 2;;;;;;;;;;;;;;;;SDp_MBR_$GGIO1$ST$Rly2$stVal;;
81af46f3ff3b437b8148636e8a575572;1;R;Bit;bin_table_rd_relay ;Discrete input;202;Binary input;12;0;1;0;1;;;;0=Aberto\1=Fechado;;;;;Público;Status do relé 3;;;;;;;;;;;;;;;;SDp_MBR_$GGIO1$ST$Rly3$stVal;;
5695a25c4ae2401e8dfc07f828c4f326;1;R;Bit;bin_table_rd_relay ;Discrete input;203;Binary input;13;0;1;0;1;;;;0=Aberto\1=Fechado;;;;;Público;Status do relé 4;;;;;;;;;;;;;;;;SDp_MBR_$GGIO1$ST$Rly4$stVal;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
f22013dfe333423191fedbab06e418cc;1;R;Bit;bin_table_rd_user_control_access ;Discrete input;29900;;;0;1;0;1;;;;0=Acesso bloqueado\1=Acesso liberado;;;;;Público;Indica se o acesso de usuário está liberado;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a8428facf9e64a05854e8c5627d24c93;1;R;Bit;bin_table_rd_factory_control_access ;Discrete input;30000;;;0;1;0;1;;;;0=Acesso bloqueado\1=Acesso liberado;;;;;Fábrica;Indica se o acesso de fábrica está liberado;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fe38f3e3ebf743138ee271365a01c704;1;R;Bit;bin_table_rd_log ;Discrete input;52000;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Log de massa/Privado;Indicação de log de massa cheio ;;;;;;;;;;;;;;;;;;
5865481999974129922822906f7e5b1c;1;R;Bit;bin_table_rd_log ;Discrete input;52001;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Log de sanidade/Privado;Indicação de log de sanidade cheio ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95a1442d81ca4c159efc32bce008879e;0;RW;Bit;bin_table_wr_general ;Coil;0;Binary output;0;0;1;0;1;;;;0=Não\1=Sim ;;;;;Público;Reinicia a memória de alarme ;;;;;;;;;;;;;;;;;;
1ef6f4017dee43738f1477fc931fc170;0;RW;Bit;bin_table_wr_general ;Coil;1;Binary output;1;0;1;0;1;;;;0=Não\1=Sim ;;;;;Público;Reinicia a memória de autodiagnostico ;;;;;;;;;;;;;;;;;;
13da4cb4ee6e4f1d929a3528559acc10;0;RW;Bit;bin_table_wr_general ;Coil;2;Binary output;2;0;1;0;1;;;;0=Não\1=Sim ;;;;;Público;Reinicia parâmetros do usuário para o default ;;;;;;;;;;;;;;;;;;
24b4417e265d49ee8066a609650a4d0e;0;RW;Bit;bin_table_wr_general ;Coil;3;Binary output;3;0;1;0;1;;;;0=Não\1=Sim ;;;;;Público;Reinicia o log de massa ;;;MMEM\RST;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
faed1c170de849f4ad96c0e21598de44;1;RW;Bit;bin_table_wr_user_control_access ;Coil;29900;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Público;Solicita acesso de usuário;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
db709be7472b4ce489d573fd1ea24b28;1;RW;Bit;bin_table_wr_factory_control_access ;Coil;30000;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Fábrica;Solicita acesso de fábrica;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ea5ed2fef51c4589991287a10852f043;0;RW;Bit;bin_table_wr_factory ;Coil;30100;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Fábrica;Reinicia parâmetros de fábrica para o default;;;;;;;;;;;;;;;;;;
08aa4610609a4d41a1a9e78c65c08f0b;0;RW;Bit;bin_table_wr_factory ;Coil;30101;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Fábrica;Apaga memória flash externa, exceto o bloco do bootloader e restaura todos os parâmetros para o default;;;;;;;;;;;;;;;;;;
f409c0ea5e6a4f7b887df6695f260b53;0;RW;Bit;bin_table_wr_factory ;Coil;30102;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Fábrica;Reinicia o log de sanidade;;;;;;;;;;;;;;;;;;
d33d3556e5db42b0a04e14d66060c64c;0;RW;Bit;bin_table_wr_factory ;Coil;30103;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Fábrica;Habilita o modo fábrica;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a50c82c8a0d349b483d823ea4fa73307;0;RW;Bit;bin_table_wr_clock_config ;Coil;45000;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Público;Aplica configuração do relógio ;;;CLK\APLY;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0c832bc7887f4ee19eb183cff88c471a;0;RW;Bit;bin_table_wr_logs ;Coil;52000;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Log de massa/Privado;Habilita o autoincremento do log de massa ;;;;;;;;;;;;;;;;;;
b6316bb4ef3342cbaff86ba959b15d03;0;RW;Bit;bin_table_wr_logs ;Coil;52001;;;0;1;0;1;;;;0=Não\1=Sim ;;;;;Log de sanidade/Privado;Habilita o autoincremento do log de sanidade ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
941e2dd26d37469db01383f7466506a7;0;RW;Bit;bin_table_wr_change_bits;Coil;50000;;;0;1;0;1;;;;0=Tabelas não alteradas\1=Tabelas alteradas;;;;;Uso interno;Bits Alteração Discrete Input;;;;;;MASSA(500)!!!;;;;;;;;;;;;
