UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
7230ed3a05094fa68107863ce4b288d5;0;RW;Bit;TabAutoTeste;Coil;0;Binary output;0;0;1;0;1;;;;;;;;;Privado;Entrar no modo auto teste;Enter auto test mode;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5ce95a54ab134a6595dfa6567beb8a5c;1;RW;16;TabParametrosGerais;Holding register;1000;Analog output;0;0;120;30;1;dias;days;días;;;;;;Público;Parâmetro de constante de tempo para cálculo de tendências de evolução;Parameter of time constant to calculate evolution trends;Parámetro de constante de tiempo para cálculo de tendencias de evolución;;;;;Geral;General;;Configuração;Configuration;Configuración;Parâmetro;;;SDBBM$LPHD1$SP$TmTndClc$setMag$i \ SDBBM$LPHD1$SP$TmTndClc$setMag$f;;
48950b67ab0b46c3be94f8114bc3b89d;1;RW;16;TabParametrosGerais;Holding register;1001;Analog output;1;30;1200;240;1;s;s;s;;;;;;Fábrica;Parâmetro de tempo entre amostras;Parameter of time interval between samples;;;;;;;;;;;;Parâmetro;;;;;
8f0f42669bb54ec9a715fbcb2c1a92a4;1;RW;16;TabParametrosGerais;Holding register;1002;Analog output;2;10;2600;2520;1;;;;;;;;;Fábrica;Parâmetro de número de amostras para tangente delta;Parameter of number of tangent delta samples;;;;;;Geral;General;;Configuração;Configuration;Configuración;Parâmetro;;;SDBBM$LPHD1$SP$LosFactSmp$setMag$i \ SDBBM$LPHD1$SP$LosFactSmp$setMag$f;;
0a8e4159c1aa4c81a3dfa22131826c90;1;RW;16;TabParametrosGerais;Holding register;1003;Analog output;3;10;2600;2520;1;;;;;;;;;Fábrica;Parâmetro de número de amostras para capacitância;Parameter of number of capacitance samples;;;;;;Geral;General;;Configuração;Configuration;Configuración;Parâmetro;;;SDBBM$LPHD1$SP$ReactSmp$setMag$i \ SDBBM$LPHD1$SP$ReactSmp$setMag$f;;
4f8d2e72cee748c198ebe0238a78e136;1;RW;16;TabParametrosGerais;Holding register;1004;Analog output;4;1;5;1;1;;;;;;;;;Fábrica;Parâmetro de número de desvios padrões utilizados para filtro;Parameter of number of standard deviations used for filter;;;;;;;;;;;;Parâmetro;;;;;
d2c92d960dde4779ac530a41fcf4b395;1;RW;16;TabParametrosGerais;Holding register;1005;Analog output;5;0;200;5;10;%;%;%;;;;;;Público;Parâmetro de histerese dos alarmes;Parameter of alarms hysteresis;;;;;;Geral;General;;Configuração;Configuration;Configuración;Parâmetro;;;SDBBM$LPHD1$SP$AlmTm$setMag$i \ SDBBM$LPHD1$SP$AlmTm$setMag$f;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
874ff49293b14434a54496df506358f5;1;RW;Bit;TabParametrosCompCalc;Coil;1000;Binary output;1;0;1;1;1;;;;0=OFF\1=ON;0=OFF\1=ON;0=OFF\1=ON;;;Fábrica;Parâmetro de compensação conjunto 1;Parameter of compensation set 1;;;;;;;;;;;;Parâmetro;;;;;
e3c50d09cf8e4042abd56365059e5806;1;RW;Bit;TabParametrosCompCalc;Coil;1001;Binary output;2;0;1;1;1;;;;0=OFF\1=ON;0=OFF\1=ON;0=OFF\1=ON;;;Fábrica;Parâmetro de compensação conjunto 2;Parameter of compensation set 2;;;;;;;;;;;;Parâmetro;;;;;
53aae1b99b4c4912937f7d65aa3297c4;1;RW;Bit;TabParametrosCompCalc;Coil;1002;Binary output;3;0;1;0;1;;;;0=OFF\1=ON;0=OFF\1=ON;0=OFF\1=ON;;;Público;Parâmetro de habilitar monitoramento no conjunto 1;Indication of monitoring status in set 1;;;;;;Geral;General;;Configuração;Configuration;Configuración;Parâmetro;;;SDBSET1$ZBSH4$SP$Ena$setMag$i \ SDBSET1$ZBSH4$SP$Ena$setMag$f;;
